,#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
32,32,Robert Parish,1611,45704,23334,9614,17914,53.7,0,6,0.0,4106,5694,72.1,4598,10117,14715,2180,1219,2361,3183,53.7,57.1
33,33,Adrian Dantley,955,34151,23177,8169,15121,54.0,7,41,17.1,6832,8351,81.8,2207,3248,5455,2830,944,150,2503,54.0,61.7
34,34,Dwyane Wade,1054,35777,23165,8454,17617,48.0,549,1874,29.3,5708,7463,76.5,1258,3675,4933,5701,1620,885,3326,49.5,55.4
35,35,Elgin Baylor,846,33863,23149,8693,20171,43.1,,,,5763,7391,78.0,,,11463,3650,,,,43.1,49.4
36,36,Chris Paul,1272,43317,22288,7898,16769,47.1,1720,4658,36.9,4772,5487,87.0,759,4923,5682,11894,2614,200,2964,52.2,58.1
37,37,Clyde Drexler,1086,37538,22195,8335,17673,47.2,827,2603,31.8,4698,5962,78.8,2615,4062,6677,6125,2207,719,2977,49.5,54.7
38,38,Gary Payton,1335,47117,21813,8708,18698,46.6,1132,3570,31.7,3265,4480,72.9,1392,3877,5269,8966,2445,285,3030,49.6,52.8
39,39,Larry Bird,897,34443,21791,8591,17334,49.6,649,1727,37.6,3960,4471,88.6,1757,7217,8974,5695,1556,755,2816,51.4,56.4
40,40,Hal Greer,1122,39788,21586,8504,18811,45.2,,,,4578,5717,80.1,,,5665,4540,,,,45.2,50.6
41,41,Damian Lillard,842,30519,21151,6822,15576,43.8,2607,7032,37.1,4900,5460,89.7,505,3068,3573,5659,804,257,2379,52.2,58.8
42,42,Walt Bellamy,1043,38940,20941,7914,15340,51.6,,,,5113,8088,63.2,264,481,14241,2544,52,48,,51.6,55.4
43,43,Pau Gasol,1226,41001,20894,7980,15729,50.7,179,486,36.8,4755,6311,75.3,3085,8220,11305,3925,606,1941,2638,51.3,56.5
44,44,Bob Pettit,792,30690,20880,7349,16872,43.6,,,,6182,8119,76.1,,,12849,2369,,,,43.6,51.1
45,45,David Robinson,987,34273,20790,7365,14221,51.8,25,100,25.0,6035,8201,73.6,3083,7414,10497,2441,1388,2954,2417,51.9,58.3
46,46,George Gervin,791,26536,20708,8045,15747,51.1,77,259,29.7,4541,5383,84.4,1186,2421,3607,2214,941,670,2137,51.3,57.2
47,47,LaMarcus Aldridge,1076,36243,20558,8311,16872,49.3,227,710,32.0,3709,4563,81.3,2776,5960,8736,2076,758,1187,1643,49.9,54.4
48,48,Mitch Richmond,976,34301,20497,7305,16038,45.5,1326,3417,38.8,4561,5365,85.0,881,2920,3801,3398,1211,254,2579,49.7,55.7
49,49,Joe Johnson,1277,44235,20407,7823,17720,44.1,1978,5331,37.1,2783,3468,80.2,1067,3992,5059,5001,1071,260,2451,49.7,53.0
50,50,Tom Chambers,1107,33921,20049,7378,15749,46.8,227,740,30.7,5066,6274,80.7,1942,4761,6703,2283,885,627,2549,47.6,54.2
0,,,,,,,,,,,,,,,,,,,,,,,
1,1,LeBron James,1492,56596,40474,14837,29313,50.6,2410,6926,34.8,8390,11404,73.6,1727,9458,11185,11009,2275,1111,5211,54.7,58.9
2,2,Kareem Abdul-Jabbar,1560,57446,38387,15837,28307,55.9,1,18,5.6,6712,9304,72.1,2975,9394,17440,5660,1160,3189,2527,55.9,59.2
3,3,Karl Malone,1476,54852,36928,13528,26210,51.6,85,310,27.4,9787,13188,74.2,3562,11406,14968,5248,2085,1145,4524,51.8,57.7
4,4,Kobe Bryant,1346,48643,33643,11719,26200,44.7,1827,5546,32.9,8378,10011,83.7,1499,5548,7047,6306,1944,640,4010,48.2,55.0
5,5,Michael Jordan,1072,41010,32292,12192,24537,49.7,581,1778,32.7,7327,8772,83.5,1668,5004,6672,5633,2514,893,2924,50.9,56.9
6,6,Dirk Nowitzki,1522,51367,31560,11169,23734,47.1,1982,5210,38.0,7240,8239,87.9,1468,10021,11489,3651,1210,1281,2494,51.2,57.7
7,7,Wilt Chamberlain,1045,47859,31419,12681,23497,54.0,,,,6057,11862,51.1,,,23924,4643,,,,54.0,54.7
8,8,Kevin Durant,1061,38972,28924,9950,19875,50.1,2031,5248,38.7,6993,7910,88.4,717,6737,7454,4645,1124,1196,3364,55.2,61.9
9,9,Shaquille O'Neal,1207,41917,28596,11330,19457,58.2,1,22,4.5,5935,11252,52.7,4209,8890,13099,3026,739,2732,3310,58.2,58.6
10,10,Carmelo Anthony,1260,43513,28289,10119,22643,44.7,1731,4873,35.5,6320,7764,81.4,1983,5825,7808,3422,1223,644,3052,48.5,54.3
11,11,Moses Malone,1329,45071,27409,9435,19225,49.1,8,80,10.0,8531,11090,76.9,6731,9481,16212,1796,1089,1733,3804,49.1,56.9
12,12,Elvin Hayes,1303,50000,27313,10976,24272,45.2,5,34,14.7,5356,7999,67.0,2778,6973,16279,2398,864,1771,1358,45.2,49.1
13,13,Hakeem Olajuwon,1238,44218,26946,10749,20991,51.2,25,124,20.2,5423,7621,71.2,4034,9714,13748,3058,2162,3830,3667,51.3,55.3
14,14,Oscar Robertson,1040,43886,26710,9508,19620,48.5,,,,7694,9185,83.8,71,208,7804,9887,77,4,,48.5,56.4
15,15,Dominique Wilkins,1074,38115,26668,9963,21589,46.1,711,2231,31.9,6031,7438,81.1,2950,4219,7169,2677,1378,642,2669,47.8,53.6
16,16,Tim Duncan,1392,47367,26496,10285,20334,50.6,30,168,17.9,5896,8468,69.6,3859,11232,15091,4225,1025,3020,3381,50.7,55.1
17,17,Paul Pierce,1343,45879,26397,8668,19465,44.5,2143,5816,36.8,6918,8578,80.6,1092,6435,7527,4708,1752,745,3532,50.0,56.8
18,18,John Havlicek,1270,46471,26395,10513,23930,43.9,,,,5369,6589,81.5,610,1389,8007,6114,476,117,204,43.9,49.2
19,19,Kevin Garnett,1462,50412,26071,10505,21142,49.7,174,632,27.5,4887,6190,78.9,3209,11453,14662,5445,1859,2037,3179,50.1,54.6
20,20,James Harden,1072,37222,25885,7643,17315,44.1,2940,8082,36.4,7659,8900,86.1,816,5201,6017,7629,1597,600,3919,52.6,61.0
21,21,Vince Carter,1541,46370,25728,9293,21339,43.5,2290,6168,37.1,4852,6082,79.8,1658,4948,6606,4714,1530,888,2590,48.9,53.6
22,22,Alex English,1193,38063,25613,10659,21036,50.7,18,83,21.7,4277,5141,83.2,2778,3760,6538,4351,1067,833,2821,50.7,55.0
23,23,Reggie Miller,1389,47620,25279,8241,17499,47.1,2560,6486,39.5,6237,7026,88.8,883,3299,4182,4141,1505,299,2409,54.4,61.4
24,24,Russell Westbrook,1162,39080,25211,9055,20659,43.8,1273,4186,30.4,5828,7512,77.6,1872,6435,8307,9468,1849,369,4587,46.9,52.6
25,25,Jerry West,932,36571,25192,9016,19032,47.4,,,,7160,8801,81.4,30,86,5376,6238,81,23,,47.4,55.0
26,26,Patrick Ewing,1183,40594,24815,9702,19241,50.4,19,125,15.2,5392,7289,74.0,2752,8855,11607,2215,1136,2894,3537,50.5,55.3
27,27,Ray Allen,1300,46350,24505,8567,18955,45.2,2973,7429,40.0,4398,4920,89.4,1230,4042,5272,4361,1451,244,2709,53.0,58.0
28,28,Allen Iverson,914,37582,24368,8467,19906,42.5,1059,3383,31.3,6375,8168,78.0,745,2649,3394,5624,1983,164,3262,45.2,51.8
29,29,Charles Barkley,1073,39331,23757,8435,15605,54.1,538,2020,26.6,6349,8643,73.5,4260,8286,12546,4215,1648,888,3376,55.8,61.2
30,30,Stephen Curry,956,32725,23668,8084,17098,47.3,3747,8805,42.6,3753,4125,91.0,629,3880,4509,6119,1473,235,2987,58.2,62.6
31,31,DeMar DeRozan,1110,38461,23582,8440,18007,46.9,531,1791,29.6,6171,7337,84.1,785,4125,4910,4527,1108,361,2274,48.3,55.5
32,32,Robert Parish,1611,45704,23334,9614,17914,53.7,0,6,0.0,4106,5694,72.1,4598,10117,14715,2180,1219,2361,3183,53.7,57.1
33,33,Adrian Dantley,955,34151,23177,8169,15121,54.0,7,41,17.1,6832,8351,81.8,2207,3248,5455,2830,944,150,2503,54.0,61.7
34,34,Dwyane Wade,1054,35777,23165,8454,17617,48.0,549,1874,29.3,5708,7463,76.5,1258,3675,4933,5701,1620,885,3326,49.5,55.4
35,35,Elgin Baylor,846,33863,23149,8693,20171,43.1,,,,5763,7391,78.0,,,11463,3650,,,,43.1,49.4
36,36,Chris Paul,1272,43317,22288,7898,16769,47.1,1720,4658,36.9,4772,5487,87.0,759,4923,5682,11894,2614,200,2964,52.2,58.1
37,37,Clyde Drexler,1086,37538,22195,8335,17673,47.2,827,2603,31.8,4698,5962,78.8,2615,4062,6677,6125,2207,719,2977,49.5,54.7
38,38,Gary Payton,1335,47117,21813,8708,18698,46.6,1132,3570,31.7,3265,4480,72.9,1392,3877,5269,8966,2445,285,3030,49.6,52.8
39,39,Larry Bird,897,34443,21791,8591,17334,49.6,649,1727,37.6,3960,4471,88.6,1757,7217,8974,5695,1556,755,2816,51.4,56.4
40,40,Hal Greer,1122,39788,21586,8504,18811,45.2,,,,4578,5717,80.1,,,5665,4540,,,,45.2,50.6
41,41,Damian Lillard,842,30519,21151,6822,15576,43.8,2607,7032,37.1,4900,5460,89.7,505,3068,3573,5659,804,257,2379,52.2,58.8
42,42,Walt Bellamy,1043,38940,20941,7914,15340,51.6,,,,5113,8088,63.2,264,481,14241,2544,52,48,,51.6,55.4
43,43,Pau Gasol,1226,41001,20894,7980,15729,50.7,179,486,36.8,4755,6311,75.3,3085,8220,11305,3925,606,1941,2638,51.3,56.5
44,44,Bob Pettit,792,30690,20880,7349,16872,43.6,,,,6182,8119,76.1,,,12849,2369,,,,43.6,51.1
45,45,David Robinson,987,34273,20790,7365,14221,51.8,25,100,25.0,6035,8201,73.6,3083,7414,10497,2441,1388,2954,2417,51.9,58.3
46,46,George Gervin,791,26536,20708,8045,15747,51.1,77,259,29.7,4541,5383,84.4,1186,2421,3607,2214,941,670,2137,51.3,57.2
47,47,LaMarcus Aldridge,1076,36243,20558,8311,16872,49.3,227,710,32.0,3709,4563,81.3,2776,5960,8736,2076,758,1187,1643,49.9,54.4
48,48,Mitch Richmond,976,34301,20497,7305,16038,45.5,1326,3417,38.8,4561,5365,85.0,881,2920,3801,3398,1211,254,2579,49.7,55.7
49,49,Joe Johnson,1277,44235,20407,7823,17720,44.1,1978,5331,37.1,2783,3468,80.2,1067,3992,5059,5001,1071,260,2451,49.7,53.0
50,50,Tom Chambers,1107,33921,20049,7378,15749,46.8,227,740,30.7,5066,6274,80.7,1942,4761,6703,2283,885,627,2549,47.6,54.2
0,,,,,,,,,,,,,,,,,,,,,,,
1,51,Antawn Jamison,1083,37638,20042,7679,17024,45.1,1163,3365,34.6,3521,4860,72.4,2557,5600,8157,1761,1048,421,1714,48.5,52.3
2,52,John Stockton,1504,47766,19711,7039,13658,51.5,845,2202,38.4,4788,5796,82.6,966,3085,4051,15806,3265,315,4244,54.6,60.8
3,53,Bernard King,874,29417,19655,7830,15109,51.8,23,134,17.2,3972,5444,73.0,1704,3356,5060,2863,866,230,2791,51.9,56.1
4,54,Clifford Robinson,1380,42560,19591,7389,16875,43.8,1253,3515,35.6,3560,5165,68.9,1852,4454,6306,3094,1402,1390,2502,47.5,51.2
5,55,Walter Davis,1033,28859,19521,8118,15871,51.1,157,577,27.2,3128,3676,85.1,889,2164,3053,3878,1280,133,2541,51.6,55.8
6,56,Dwight Howard,1242,39458,19485,7051,12016,58.7,22,103,21.4,5361,9455,56.7,4151,10476,14627,1676,1081,2228,3302,58.8,60.2
7,57,Tony Parker,1254,38279,19473,7777,15830,49.1,519,1603,32.4,3400,4525,75.1,441,2955,3396,7036,1053,98,2865,50.8,54.6
8,58,Terry Cummings,1183,33895,19460,8045,16628,48.4,44,149,29.5,3326,4711,70.6,3183,5447,8630,2190,1255,650,2200,48.5,52.0
9,59,Jamal Crawford,1327,38994,19419,6752,16467,41.0,2221,6379,34.8,3694,4286,86.2,466,2482,2948,4541,1179,271,2476,47.7,52.9
10,60,Bob Lanier,959,32103,19248,7761,15092,51.4,2,13,15.4,3724,4858,76.7,1843,4853,9698,3007,777,1100,1112,51.4,55.9
11,61,Eddie Johnson,1199,32603,19202,7727,16361,47.2,562,1679,33.5,3186,3792,84.0,1786,3046,4832,2550,739,180,2076,48.9,53.3
12,62,Gail Goodrich,1031,33527,19181,7431,16300,45.6,,,,4319,5354,80.7,453,651,3279,4805,545,72,390,45.6,51.4
13,63,Reggie Theus,1026,34603,19015,7057,14973,47.1,238,945,25.2,4663,5644,82.6,1182,2167,3349,6453,1206,236,3493,47.9,54.5
14,64,Dale Ellis,1209,34780,19004,7323,15275,47.9,1719,4266,40.3,2639,3365,78.4,1533,2668,4201,1746,974,183,1771,53.6,56.7
15,65,Scottie Pippen,1178,41068,18940,7420,15700,47.3,978,3002,32.6,3122,4437,70.4,2068,5426,7494,6135,2307,947,3257,50.4,53.6
16,66,Jason Terry,1410,42034,18881,6914,15585,44.4,2282,6010,38.0,2771,3278,84.5,502,2772,3274,5415,1603,275,2415,51.7,55.4
17,67,Chet Walker,1032,33433,18831,6876,14628,47.0,,,,5079,6384,79.6,245,593,7314,2126,117,10,,47.0,54.0
18,68,Isiah Thomas,979,35516,18822,7194,15904,45.2,398,1373,29.0,4036,5316,75.9,951,2527,3478,9061,1861,249,3682,46.5,51.6
19,69,Bob McAdoo,852,28327,18787,7420,14751,50.3,3,37,8.1,3944,5229,75.4,1818,5502,8048,1951,751,1147,1223,50.3,55.1
20,70,Zach Randolph,1116,34620,18578,7436,15774,47.1,199,729,27.3,3507,4592,76.4,3279,6929,10208,2049,834,301,2290,47.8,52.2
21,71,Giannis Antetokounmpo,792,25945,18502,6732,12349,54.5,528,1845,28.6,4510,6427,70.2,1452,6280,7732,3855,903,986,2380,56.7,61.0
22,72,Mark Aguirre,923,27730,18458,7201,14865,48.4,392,1258,31.2,3664,4944,74.1,1704,2874,4578,2871,687,296,2306,49.8,54.2
23,73,Dolph Schayes,996,29800,18438,5863,15427,38.0,,,,6712,7904,84.9,,,11256,3072,,,,38.0,48.8
24,74,Rick Barry,794,28825,18395,7252,16163,44.9,73,221,33.0,3818,4243,90.0,510,2366,5168,4017,1104,269,574,45.1,51.0
25,75,Tracy McGrady,938,30658,18381,6709,15413,43.5,1081,3198,33.8,3882,5202,74.6,1300,3976,5276,4161,1136,807,2029,47.0,51.9
26,76,Julius Erving,836,28677,18364,7237,14276,50.7,46,176,26.1,3844,4950,77.7,2067,3534,5601,3224,1508,1293,2323,50.9,55.8
27,77,Glen Rice,1000,34982,18336,6776,14867,45.6,1559,3896,40.0,3225,3813,84.6,946,3441,4387,2097,958,265,1733,50.8,55.4
28,78,Dave Bing,901,32769,18327,6962,15769,44.1,,,,4403,5683,77.5,418,741,3420,5397,483,89,216,44.1,50.2
29,79,Paul George,867,29182,18032,6155,13983,44.0,2253,5859,38.5,3469,4063,85.4,726,4739,5465,3191,1464,381,2317,52.1,57.2
30,80,World Free,886,26893,17955,6512,14294,45.6,213,632,33.7,4718,6264,75.3,1008,1422,2430,3319,910,223,1869,46.3,52.7
31,81,Calvin Murphy,1002,30607,17949,7247,15030,48.2,10,72,13.9,3445,3864,89.2,499,952,2103,4402,1165,51,822,48.3,53.6
32,82,Lou Hudson,890,29794,17940,7392,15129,48.9,,,,3156,3960,79.7,436,718,3926,2432,516,98,249,48.9,53.2
33,83,Chris Mullin,986,32172,17911,6740,13243,50.9,815,2120,38.4,3616,4178,86.5,1026,3008,4034,3450,1530,549,2315,54.0,59.4
34,84,Lenny Wilkens,1077,38064,17772,6189,14327,43.2,,,,5394,6973,77.4,118,279,5030,7211,174,26,,43.2,51.1
35,85,Bailey Howell,950,30627,17770,6515,13585,48.0,,,,4740,6224,76.2,,,9383,1853,,,,48.0,54.4
36,86,Anthony Davis,736,25410,17717,6630,12679,52.3,340,1145,29.7,4117,5177,79.5,1952,5873,7825,1828,974,1705,1460,53.6,59.2
37,87,Magic Johnson,906,33245,17707,6211,11951,52.0,325,1074,30.3,4960,5850,84.8,1601,4958,6559,10141,1724,374,3506,53.3,61.0
38,88,Shawn Marion,1163,40097,17700,7289,15056,48.4,791,2390,33.1,2331,2877,81.0,2732,7369,10101,2198,1759,1233,1750,51.0,54.2
39,89,Rudy Gay,1120,34561,17642,6670,14771,45.2,1186,3429,34.6,3116,3898,79.9,1447,4836,6283,2280,1231,798,2245,49.2,53.5
40,90,Rolando Blackman,980,32087,17623,6887,13969,49.3,229,667,34.3,3620,4309,84.0,1047,2231,3278,2981,715,274,1829,50.1,55.5
41,91,Otis Thorpe,1257,39824,17599,6872,12593,54.6,3,64,4.7,3852,5610,68.7,3446,6924,10370,2730,840,501,2774,54.6,58.4
42,92,Jason Kidd,1391,50116,17529,6219,15557,40.0,1988,5701,34.9,3103,3954,78.5,1768,6957,8725,12091,2684,450,4003,46.4,50.7
43,93,Earl Monroe,926,29636,17454,6906,14898,46.4,0,0,0.0,3642,4513,80.7,260,976,2796,3594,473,121,305,46.4,51.7
44,94,Steve Nash,1217,38073,17387,6321,12892,49.0,1685,3939,42.8,3060,3384,90.4,643,2999,3642,10335,899,102,3478,55.6,60.5
45,95,Kevin McHale,971,30118,17335,6830,12334,55.4,41,157,26.1,3634,4554,79.8,2358,4764,7122,1670,344,1690,1893,55.5,60.5
46,96,Michael Finley,1103,37995,17306,6696,15095,44.4,1454,3880,37.5,2460,3032,81.1,1121,3683,4804,3245,996,323,1629,49.2,52.7
47,97,Jack Sikma,1107,36943,17287,6396,13792,46.4,203,618,32.8,4292,5053,84.9,2542,8274,10816,3488,1162,1048,2586,47.1,54.0
48,98,Kevin Willis,1424,38360,17253,7095,14572,48.7,40,190,21.1,3023,4238,71.3,4132,7769,11901,1328,958,751,2520,48.8,52.5
49,99,Jeff Malone,905,29660,17231,7099,14674,48.4,86,321,26.8,2947,3383,87.1,572,1792,2364,2154,577,100,1538,48.7,53.3
50,100,Kyrie Irving,729,25076,17199,6340,13368,47.4,1732,4404,39.3,2787,3146,88.6,578,2355,2933,4134,956,314,1831,53.9,58.3
0,,,,,,,,,,,,,,,,,,,,,,,
1,101,Chris Bosh,893,31936,17189,6209,12581,49.4,305,910,33.5,4466,5591,79.9,1927,5665,7592,1795,730,932,1807,50.6,57.1
2,102,Chris Webber,831,30852,17182,7192,15024,47.9,264,883,29.9,2534,3906,64.9,2271,5853,8124,3526,1197,1200,2313,48.7,51.3
3,103,Grant Hill,1026,34778,17137,6345,13126,48.3,219,697,31.4,4228,5498,76.9,1176,4993,6169,4252,1248,576,2459,49.2,55.1
4,104,Bob Cousy,924,30165,16960,6168,16468,37.5,,,,4624,5756,80.3,,,4786,6955,,,,37.5,44.6
5,105,Elton Brand,1058,34906,16827,6599,13185,50.0,2,21,9.5,3627,4929,73.6,3304,5736,9040,2184,940,1828,2060,50.1,54.8
6,106,Buck Williams,1307,42470,16784,6404,11661,54.9,5,30,16.7,3971,5979,66.4,4526,8491,13017,1646,1080,1100,2784,54.9,58.7
7,107,Latrell Sprewell,913,35268,16712,6076,14294,42.5,1104,3272,33.7,3456,4298,80.4,770,2954,3724,3664,1294,399,2450,46.4,51.6
8,108,Nate Archibald,876,31159,16481,5899,12628,46.7,19,85,22.4,4664,5760,81.0,344,1015,2046,6476,719,81,1123,46.8,54.3
9,109,Brook Lopez,1025,30975,16476,6286,12673,49.6,936,2682,34.9,2968,3727,79.6,2048,4288,6336,1471,583,1912,1667,53.3,57.6
10,110,Jerry Stackhouse,970,30226,16409,5386,13182,40.9,988,3202,30.9,4649,5659,82.2,926,2141,3067,3240,869,437,2641,44.6,52.4
11,111,Joe Dumars,1018,35141,16402,5994,13026,46.0,990,2592,38.2,3424,4061,84.3,671,1532,2203,4612,902,83,2084,49.8,55.4
12,112,Bradley Beal,748,25858,16355,6001,12970,46.3,1615,4305,37.5,2738,3330,82.2,655,2414,3069,3237,824,311,1839,52.5,56.6
13,113,James Worthy,926,30001,16320,6878,13204,52.1,117,486,24.1,2447,3184,76.9,1561,3147,4708,2791,1041,624,1859,52.5,55.9
14,114,Stephon Marbury,846,31890,16297,5769,13324,43.3,991,3048,32.5,3768,4804,78.4,579,1937,2516,6471,1022,121,2547,47.0,52.8
15,115,Andre Miller,1304,40268,16278,6035,13104,46.1,193,888,21.7,4015,4975,80.7,1373,3422,4795,8524,1546,227,3121,46.8,53.2
16,116,Paul Arizin,713,24897,16266,5628,13354,42.1,,,,5010,6189,81.0,,,6129,1665,,,,42.1,50.6
17,117,Randy Smith,976,31444,16262,6676,14218,47.0,17,110,15.5,2893,3705,78.1,861,1977,3597,4487,1403,57,1158,47.0,51.3
18,118,Kyle Lowry,1138,36022,16218,5209,12283,42.4,2176,5909,36.8,3624,4445,81.5,881,4013,4894,7003,1466,340,2607,51.3,57.0
19,119,Juwan Howard,1208,36648,16159,6543,13950,46.9,6,50,12.0,3067,4014,76.4,2348,5080,7428,2663,818,312,2469,46.9,51.4
20,120,Derek Harper,1199,37776,16006,6191,13384,46.3,1070,3026,35.4,2554,3426,74.5,696,2188,2884,6577,1957,304,2334,50.3,53.7
21,120,Rasheed Wallace,1109,36249,16006,6320,13529,46.7,1086,3228,33.6,2280,3162,72.1,1578,5826,7404,1994,1090,1460,1693,50.7,53.6
22,122,Amar'e Stoudemire,846,26253,15994,5911,11009,53.7,30,127,23.6,4142,5444,76.1,2029,4603,6632,1050,636,1054,1953,53.8,59.7
23,123,Kiki Vandeweghe,810,24521,15980,6139,11699,52.5,218,592,36.8,3484,3997,87.2,893,1892,2785,1668,468,243,1310,53.4,59.4
24,124,Pete Maravich,658,24316,15948,6187,14025,44.1,10,15,66.7,3564,4344,82.0,426,1421,2747,3563,587,108,530,44.1,50.0
25,125,Mike Conley,1101,34840,15888,5597,12736,43.9,1803,4655,38.7,2891,3512,82.3,526,2746,3272,6306,1524,228,2105,51.0,55.6
26,126,Jack Twyman,823,26147,15840,6237,13873,45.0,,,,3366,4325,77.8,,,5424,1861,,,,45.0,50.2
27,127,Chauncey Billups,1043,33008,15802,4738,11413,41.5,1830,4725,38.7,4496,5029,89.4,480,2512,2992,5636,1051,168,2138,49.5,58.0
28,128,Detlef Schrempf,1136,33609,15761,5400,10995,49.1,475,1236,38.4,4486,5585,80.3,1871,5152,7023,3833,856,312,2268,51.3,58.6
29,129,Jrue Holiday,975,32263,15736,6180,13355,46.3,1466,3953,37.1,1910,2436,78.4,922,3153,4075,6201,1407,508,2596,51.8,54.5
30,130,Richard Hamilton,921,29562,15708,5969,13288,44.9,530,1530,34.6,3240,3805,85.2,794,2058,2852,3125,714,131,1977,46.9,52.5
31,131,Larry Nance,920,30697,15687,6370,11664,54.6,8,55,14.5,2939,3892,75.5,2299,5053,7352,2393,872,2027,1711,54.6,58.6
32,132,Jeff Hornacek,1077,33961,15659,5929,11957,49.6,828,2055,40.3,2973,3390,87.7,919,2727,3646,5281,1536,226,1971,53.0,58.2
33,133,Antoine Walker,893,31533,15647,6085,14710,41.4,1386,4264,32.5,2091,3303,63.3,1894,4997,6891,3170,1085,469,2504,46.1,48.4
34,134,Sam Cassell,993,29813,15635,5698,12558,45.4,672,2029,33.1,3567,4144,86.1,618,2603,3221,5939,1058,163,2418,48.0,54.4
35,135,Lou Williams,1123,27104,15593,5047,12045,41.9,1457,4146,35.1,4042,4803,84.2,431,2053,2484,3789,952,192,1896,47.9,55.1
36,136,Terry Porter,1274,35355,15586,5428,11734,46.3,1297,3360,38.6,3433,4107,83.6,715,3157,3872,7160,1583,181,2666,51.8,57.6
37,137,Walt Frazier,825,30965,15581,6130,12516,49.0,0,1,0.0,3321,4226,78.6,403,1523,4830,5040,681,63,139,49.0,54.2
38,138,Artis Gilmore,909,29685,15579,5732,9570,59.9,1,13,7.7,4114,5768,71.3,2639,6522,9161,1777,470,1747,2347,59.9,64.3
39,138,Rashard Lewis,1049,33543,15579,5644,12479,45.2,1787,4625,38.6,2504,3111,80.5,1418,4015,5433,1765,1115,541,1577,52.4,56.3
40,140,Dennis Johnson,1100,35954,15535,5832,13100,44.5,80,464,17.2,3791,4754,79.7,1459,2790,4249,5499,1477,675,2448,44.8,51.1
41,141,Klay Thompson,793,25842,15531,5794,12780,45.3,2481,6009,41.3,1462,1704,85.8,362,2433,2795,1843,676,413,1336,55.0,57.4
42,142,Bob Dandridge,839,29502,15530,6445,13317,48.4,2,12,16.7,2638,3382,78.0,908,2337,5715,2846,661,303,630,48.4,52.4
43,143,Sam Jones,871,24285,15411,6271,13745,45.6,,,,2869,3572,80.3,,,4305,2209,,,,45.6,50.3
44,144,Tim Hardaway,867,30628,15373,5640,13076,43.1,1542,4345,35.5,2551,3263,78.2,544,2311,2855,7095,1428,129,2481,49.0,53.0
45,145,Nikola Vucevic,899,28225,15370,6580,13295,49.5,769,2256,34.1,1441,1877,76.8,2256,7179,9435,2556,760,792,1551,52.4,54.4
46,146,Dick Barnett,971,28937,15358,6034,13227,45.6,,,,3290,4324,76.1,1,3,2812,2729,1,0,,45.6,50.8
47,147,Shawn Kemp,1051,29299,15347,5505,11278,48.8,33,119,27.7,4304,5805,74.1,3026,5808,8834,1704,1185,1279,2766,49.0,55.5
48,148,Sam Perkins,1286,36598,15324,5498,11984,45.9,849,2348,36.2,3479,4292,81.1,2324,5342,7666,1975,1105,933,1586,49.4,55.2
49,149,Kevin Love,929,27254,15299,5033,11469,43.9,1650,4475,36.9,3583,4323,82.9,2194,7209,9403,2150,562,364,1665,51.1,57.2
50,150,John Drew,739,21828,15291,5481,11658,47.0,10,57,17.5,4319,5774,74.8,2158,2930,5088,1224,1004,193,1402,47.1,53.8
0,,,,,,,,,,,,,,,,,,,,,,,
1,151,Byron Scott,1073,30152,15097,5918,12268,48.2,775,2093,37.0,2486,2985,83.3,677,2310,2987,2729,1224,276,1597,51.4,55.6
2,152,Dick Van Arsdale,921,31771,15079,5413,11661,46.4,,,,4253,5385,79.0,188,476,3807,3060,264,44,,46.4,53.7
3,153,Shareef Abdur-Rahim,830,28883,15028,5434,11515,47.2,154,519,29.7,4006,4943,81.0,1869,4370,6239,2109,820,638,2136,47.9,54.9
4,154,Mike Mitchell,759,24537,15016,6371,12912,49.3,19,88,21.6,2255,2894,77.9,1539,2707,4246,1010,530,400,1300,49.4,52.9
5,155,Jimmy Butler,814,27044,14934,4846,10312,47.0,652,1980,32.9,4590,5441,84.4,1316,3035,4351,3474,1323,361,1325,50.2,58.8
6,156,Richard Jefferson,1181,34299,14904,5150,11102,46.4,1042,2769,37.6,3562,4639,76.8,917,3803,4720,2412,787,347,1768,51.1,56.7
7,157,James Edwards,1168,28356,14862,5802,11724,49.5,1,21,4.8,3257,4666,69.8,1804,4200,6004,1499,420,867,1931,49.5,53.9
8,158,Monta Ellis,833,29011,14858,5723,12688,45.1,737,2349,31.4,2675,3463,77.2,520,2354,2874,3856,1409,281,2246,48.0,52.3
9,159,Mike Bibby,1001,33959,14698,5410,12412,43.6,1517,3999,37.9,2361,2943,80.2,529,2574,3103,5517,1172,149,2134,49.7,53.6
10,160,Richie Guerin,848,27449,14676,5174,12451,41.6,,,,4328,5549,78.0,,,4278,4211,,,,41.6,49.3
11,161,Dan Issel,718,22342,14659,5424,10711,50.6,19,75,25.3,3792,4756,79.7,1686,4021,5707,1804,698,396,1281,50.7,57.2
12,162,Jason Richardson,857,29243,14644,5558,12681,43.8,1608,4344,37.0,1920,2714,70.7,1033,3212,4245,2284,995,367,1503,50.2,52.8
13,162,Jamaal Wilkes,828,27275,14644,6226,12471,49.9,7,52,13.5,2185,2878,75.9,1627,3490,5117,2050,1049,262,1211,50.0,53.3
14,164,Purvis Short,842,24549,14607,5934,12507,47.4,125,443,28.2,2614,3174,82.4,1424,2201,3625,2123,878,178,1720,47.9,52.5
